window,phi
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00,0.95
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.00,0.95
0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.01 0.01,0.75
0.01 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.00,0.75
0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.00 0.00,0.5
0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00,0.5
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.00,0.75
0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.00 0.00,0.75
0.66 0.67 0.71 0.72 0.73 0.77 0.76 0.76 0.78 0.77 0.78 0.80 0.83 0.84 0.87 0.91 1.00 0.37 0.95 0.86 0.98 0.85 0.48 0.83 0.83,0.95
0.67 0.71 0.72 0.73 0.77 0.76 0.76 0.78 0.77 0.78 0.80 0.83 0.84 0.87 0.91 1.00 0.37 0.95 0.86 0.98 0.85 0.48 0.83 0.83 0.55,0.95
0.38 0.39 0.40 0.40 0.39 0.40 0.41 0.43 0.45 0.46 0.46 0.47 0.48 0.49 0.50 0.52 0.52 0.49 0.42 0.40 0.43 0.45 0.46 0.46 0.49,0.5
0.39 0.40 0.40 0.39 0.40 0.41 0.43 0.45 0.46 0.46 0.47 0.48 0.49 0.50 0.52 0.52 0.49 0.42 0.40 0.43 0.45 0.46 0.46 0.49 0.49,0.5
0.37 0.38 0.39 0.40 0.40 0.39 0.40 0.41 0.43 0.45 0.46 0.46 0.47 0.48 0.49 0.50 0.52 0.52 0.49 0.42 0.40 0.43 0.45 0.46 0.46,0.5
0.46 0.45 0.43 0.42 0.43 0.43 0.43 0.45 0.45 0.45 0.45 0.46 0.48 0.51 0.53 0.54 0.57 0.57 0.55 0.55 0.55 0.54 0.55 0.55 0.57,0.5
0.45 0.43 0.42 0.43 0.43 0.43 0.45 0.45 0.45 0.45 0.46 0.48 0.51 0.53 0.54 0.57 0.57 0.55 0.55 0.55 0.54 0.55 0.55 0.57 0.57,0.5
0.28 0.30 0.33 0.34 0.36 0.38 0.41 0.46 0.47 0.49 0.49 0.41 0.36 0.34 0.37 0.43 0.51 0.52 0.53 0.49 0.49 0.57 0.65 0.68 0.68,0.7
0.30 0.33 0.34 0.36 0.38 0.41 0.46 0.47 0.49 0.49 0.41 0.36 0.34 0.37 0.43 0.51 0.52 0.53 0.49 0.49 0.57 0.65 0.68 0.68 0.70,0.7
0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00 0.03 0.02 0.00 0.00 0.00,0.5
0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00 0.03 0.02 0.00 0.00 0.00 0.00,0.5
0.19 0.22 0.21 0.19 0.19 0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02,0.75
0.22 0.21 0.19 0.19 0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00,0.75
0.19 0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01,0.5
0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00,0.5
0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00,0.75
0.21 0.19 0.19 0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01,0.7
0.19 0.19 0.19 0.19 0.19 0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00,0.5
0.60 0.58 0.58 0.58 0.57 0.58 0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53 0.53 0.53,0.5
0.58 0.58 0.58 0.57 0.58 0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53 0.53 0.53 0.53,0.75
0.64 0.60 0.58 0.58 0.58 0.57 0.58 0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53 0.53,0.75
0.61 0.64 0.60 0.58 0.58 0.58 0.57 0.58 0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53,0.75
0.58 0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53 0.53 0.53 0.53 0.53 0.53 0.56 0.58,0.75
0.55 0.54 0.57 0.56 0.53 0.53 0.53 0.54 0.54 0.54 0.54 0.55 0.59 0.58 0.55 0.54 0.53 0.53 0.53 0.53 0.53 0.53 0.56 0.58 0.54,0.7
0.55 0.55 0.55 0.55 0.55 0.55 0.61 0.59 0.58 0.59 0.59 0.59 0.61 0.60 0.58 0.58 0.59 0.59 0.59 0.57 0.57 0.62 0.62 0.56 0.57,0.5
0.55 0.55 0.55 0.55 0.55 0.61 0.59 0.58 0.59 0.59 0.59 0.61 0.60 0.58 0.58 0.59 0.59 0.59 0.57 0.57 0.62 0.62 0.56 0.57 0.58,0.5
0.14 0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00 0.03 0.02,0.75
0.15 0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00 0.03 0.02 0.00,0.75
0.15 0.24 0.20 0.20 0.05 0.02 0.02 0.02 0.02 0.02 0.02 0.05 0.03 0.02 0.02 0.00 0.01 0.00 0.01 0.00 0.00 0.03 0.02 0.00 0.00,0.75
0.47 0.46 0.44 0.43 0.44 0.44 0.44 0.44 0.45 0.44 0.48 0.48 0.44 0.44 0.44 0.46 0.45 0.46 0.45 0.46 0.52 0.52 0.51 0.49 0.49,0.75
0.46 0.44 0.43 0.44 0.44 0.44 0.44 0.45 0.44 0.48 0.48 0.44 0.44 0.44 0.46 0.45 0.46 0.45 0.46 0.52 0.52 0.51 0.49 0.49 0.49,0.75
